OlinkID;AssayType;UniProt;Assay;Panel;Block;DataAnalysisRefID;BimodalDistribution;LODNPX;LODCount;LODMethod;Version
OID50076;assay;Q13148;TARDBP;Reveal;1;R10001;FALSE;0.199003137570076;18802;lod_npx;10.0.0
OID50077;assay;P19484;TFEB;Reveal;1;R10001;FALSE;-4.02220231202712;1284;lod_npx;10.0.0
OID50078;assay;Q8WV44;TRIM41;Reveal;1;R10001;FALSE;-2.02896643356773;1610;lod_npx;10.0.0
OID50079;assay;Q99576;TSC22D3;Reveal;1;R10001;FALSE;-1.26973743680966;5462;lod_npx;10.0.0
OID50080;assay;O94941;UBOX5;Reveal;1;R10001;FALSE;0.330567990501657;7116;lod_npx;10.0.0
OID50081;assay;Q8IWV8;UBR2;Reveal;1;R10001;FALSE;-1.91495157961571;892;lod_npx;10.0.0
OID50082;assay;Q9P1Q0;VPS54;Reveal;1;R10001;FALSE;0.241380535536241;460;lod_npx;10.0.0
OID50083;assay;Q8IV63;VRK3;Reveal;1;R10001;FALSE;-1.29387952747605;1804;lod_npx;10.0.0
OID50084;assay;Q8IUB2;WFDC3;Reveal;1;R10001;FALSE;-1.56209641343513;1554;lod_npx;10.0.0
OID50085;assay;A2A288;ZC3H12D;Reveal;1;R10001;FALSE;-0.927973060616629;1972;lod_npx;10.0.0
OID50086;assay;P09110;ACAA1;Reveal;1;R10001;FALSE;-3.48247728776799;918;lod_npx;10.0.0
OID50087;assay;P15309;ACP3;Reveal;1;R10001;FALSE;-4.17831705045555;300;lod_count;10.0.0
OID50088;assay;Q96HD9;ACY3;Reveal;1;R10001;FALSE;-6.42547583479052;826;lod_npx;10.0.0
OID50089;assay;O43184;ADAM12;Reveal;1;R10001;FALSE;-0.250378902233714;6762;lod_npx;10.0.0
OID50090;assay;Q86Y34;ADGRG3;Reveal;1;R10001;FALSE;-0.697045785943775;10076;lod_npx;10.0.0
OID50091;assay;Q8N4X5;AFAP1L2;Reveal;1;R10001;FALSE;0.0258646436322089;11820;lod_npx;10.0.0
OID50092;assay;P55008;AIF1;Reveal;1;R10001;FALSE;-1.01827424581315;626;lod_npx;10.0.0
OID50093;assay;Q9Y243;AKT3;Reveal;1;R10001;FALSE;1.09748359337358;640;lod_npx;10.0.0
OID50094;assay;P09923;ALPI;Reveal;1;R10001;FALSE;-6.84899079913681;150;lod_count;10.0.0
OID50096;assay;Q9BTT0;ANP32E;Reveal;1;R10001;FALSE;-3.00674773074882;1290;lod_npx;10.0.0
OID50097;assay;P19801;AOC1;Reveal;1;R10001;FALSE;-1.32927868013599;1024;lod_npx;10.0.0
OID50098;assay;Q5T9A4;ATAD3B;Reveal;1;R10001;FALSE;-0.96364439030807;4184;lod_npx;10.0.0
OID50099;assay;O95260;ATE1;Reveal;1;R10001;FALSE;-2.55555254504255;150;lod_count;10.0.0
OID50100;assay;P15336;ATF2;Reveal;1;R10001;FALSE;0.178193003731383;1732;lod_npx;10.0.0
OID50101;assay;O75787;ATP6AP2;Reveal;1;R10001;FALSE;-0.170953134261078;4268;lod_npx;10.0.0
OID50102;assay;Q16864;ATP6V1F;Reveal;1;R10001;FALSE;0.242673012725612;4750;lod_npx;10.0.0
OID50103;assay;O95429;BAG4;Reveal;1;R10001;FALSE;-0.935625677003792;4854;lod_npx;10.0.0
OID50104;assay;Q9UQB8;BAIAP2;Reveal;1;R10001;FALSE;-2.15159124958917;1692;lod_npx;10.0.0
OID50105;assay;Q07812;BAX;Reveal;1;R10001;FALSE;-2.33911716936723;3474;lod_npx;10.0.0
OID50106;assay;Q5TBC7;BCL2L15;Reveal;1;R10001;FALSE;-3.59660441870671;2894;lod_npx;10.0.0
OID50107;assay;P21810;BGN;Reveal;1;R10001;FALSE;-0.514419811469432;1614;lod_npx;10.0.0
OID50108;assay;P25440;BRD2;Reveal;1;R10001;FALSE;-0.0438892675767818;1452;lod_npx;10.0.0
OID50109;assay;P35070;BTC;Reveal;1;R10001;FALSE;-0.223529332005457;6474;lod_npx;10.0.0
OID50110;assay;Q7Z6A9;BTLA;Reveal;1;R10001;FALSE;0.298340623923199;498;lod_npx;10.0.0
OID50111;assay;Q16566;CAMK4;Reveal;1;R10001;FALSE;-0.601742140039966;2554;lod_npx;10.0.0
OID50112;assay;P29466;CASP1;Reveal;1;R10001;FALSE;-1.47672657767163;10858;lod_npx;10.0.0
OID50113;assay;P49662;CASP4;Reveal;1;R10001;FALSE;-2.84753422384008;2356;lod_npx;10.0.0
OID50114;assay;P20810;CAST;Reveal;1;R10001;FALSE;-4.08231475913465;264;lod_count;10.0.0
OID50115;assay;Q13191;CBLB;Reveal;1;R10001;FALSE;-0.447732268112317;1248;lod_npx;10.0.0
OID50116;assay;P10747;CD28;Reveal;1;R10001;FALSE;0.214336588895362;5742;lod_npx;10.0.0
OID50118;assay;P40198;CEACAM3;Reveal;1;R10001;FALSE;-0.630870537315985;5240;lod_npx;10.0.0
